,Team1,Team2,WL,delta_Win_Percentage,delta_Score_Margin
139920,1104,1244,True,0.253,0.253
139921,1105,1408,True,0.004,0.004
139922,1112,1334,True,0.527,0.527
139923,1115,1370,True,-0.187,-0.187
139924,1116,1380,True,-0.113,-0.113
139925,1120,1412,True,-0.451,-0.451
139926,1124,1372,True,-0.165,-0.165
139927,1125,1266,True,0.027,0.027
139928,1123,1133,False,0.452,0.452
139929,1140,1430,True,0.355,0.355
139930,1141,1240,True,0.276,0.276
139931,1143,1349,True,0.364,0.364
139932,1151,1208,True,0.25,0.25
139933,1153,1441,True,0.255,0.255
139934,1155,1300,True,0.203,0.203
139935,1158,1354,True,-0.015,-0.015
139936,1159,1206,True,0.07,0.07
139937,1163,1263,True,0.439,0.439
139938,1113,1170,False,0.055,0.055
139939,1173,1369,True,0.67,0.67
139940,1174,1175,True,0.066,0.066
139941,1181,1373,True,0.061,0.061
139942,1164,1184,False,-0.226,-0.226
139943,1185,1436,True,-0.123,-0.123
139944,1187,1212,True,0.232,0.232
139945,1117,1188,False,0.096,0.096
139946,1150,1189,False,-0.043,-0.043
139947,1196,1298,True,0.013,0.013
139948,1201,1337,True,0.152,0.152
139949,1202,1342,True,0.23,0.23
139950,1203,1248,True,0.497,0.497
139951,1165,1210,False,-0.243,-0.243
139952,1213,1340,True,0.414,0.414
139953,1148,1216,False,-0.143,-0.143
139954,1218,1286,True,0.4,0.4
139955,1145,1220,False,-0.295,-0.295
139956,1221,1265,True,0.191,0.191
139957,1183,1231,False,-0.388,-0.388
139958,1205,1234,False,-0.21,-0.21
139959,1160,1235,False,0.0,0.0
139960,1232,1237,False,0.065,0.065
139961,1241,1350,True,0.145,0.145
139962,1242,1294,True,0.603,0.603
139963,1243,1271,True,0.225,0.225
139964,1107,1246,False,-0.023,-0.023
139965,1252,1365,True,-0.01,-0.01
139966,1257,1359,True,0.355,0.355
139967,1168,1258,False,-0.147,-0.147
139968,1260,1427,True,0.319,0.319
139969,1261,1270,True,0.307,0.307
139970,1268,1291,True,0.326,0.326
139971,1274,1410,True,0.596,0.596
139972,1194,1277,False,-0.627,-0.627
139973,1278,1282,True,-0.063,-0.063
139974,1279,1322,True,0.417,0.417
139975,1186,1280,False,0.048,0.048
139976,1281,1459,True,-0.11,-0.11
139977,1284,1417,True,0.325,0.325
139978,1129,1285,False,-0.021,-0.021
139979,1295,1413,True,0.26,0.26
139980,1169,1296,False,-0.3,-0.3
139981,1157,1305,False,0.01,0.01
139982,1307,1411,True,-0.032,-0.032
139983,1223,1308,False,-0.229,-0.229
139984,1314,1396,True,0.168,0.168
139985,1228,1316,False,-0.192,-0.192
139986,1131,1318,False,0.017,0.017
139987,1262,1321,False,-0.268,-0.268
139988,1323,1384,True,0.242,0.242
139989,1329,1404,True,-0.173,-0.173
139990,1310,1330,False,-0.41,-0.41
139991,1283,1331,False,-0.027,-0.027
139992,1238,1332,False,-0.287,-0.287
139993,1335,1352,True,0.057,0.057
139994,1343,1351,True,0.384,0.384
139995,1299,1345,False,-0.442,-0.442
139996,1110,1348,False,-0.144,-0.144
139997,1102,1356,False,-0.288,-0.288
139998,1346,1357,False,-0.1,-0.1
139999,1229,1361,False,-0.171,-0.171
140000,1227,1362,False,-0.376,-0.376
140001,1303,1364,False,-0.015,-0.015
140002,1171,1371,False,-0.425,-0.425
140003,1127,1382,False,-0.466,-0.466
140004,1385,1447,True,-0.451,-0.451
140005,1180,1386,False,-0.594,-0.594
140006,1135,1389,False,-0.208,-0.208
140007,1390,1453,True,-0.153,-0.153
140008,1250,1393,False,-0.078,-0.078
140009,1368,1395,False,-0.041,-0.041
140010,1397,1421,True,-0.204,-0.204
140011,1259,1398,False,-0.343,-0.343
140012,1367,1401,False,-0.515,-0.515
140013,1219,1403,False,0.03,0.03
140014,1378,1407,False,0.001,0.001
140015,1142,1424,False,-0.23,-0.23
140016,1360,1425,False,-0.36,-0.36
140017,1381,1428,False,-0.615,-0.615
140018,1429,1451,True,-0.259,-0.259
140019,1341,1433,False,-0.48,-0.48
140020,1236,1434,False,-0.09,-0.09
140021,1122,1435,False,-0.109,-0.109
140022,1192,1437,False,-0.305,-0.305
140023,1288,1438,False,-0.521,-0.521
140024,1442,1458,True,-0.333,-0.333
140025,1420,1448,False,-0.136,-0.136
140026,1400,1449,False,0.062,0.062
140027,1319,1450,False,-0.16,-0.16
140028,1297,1452,False,-0.515,-0.515
140029,1176,1454,False,-0.065,-0.065
140030,1149,1455,False,-0.52,-0.52
140031,1301,1456,False,-0.136,-0.136
140032,1377,1460,False,-0.206,-0.206
140033,1275,1462,False,-0.469,-0.469
140034,1193,1463,False,-0.184,-0.184
140035,1103,1156,True,0.525,0.525
140036,1106,1439,True,-0.162,-0.162
140037,1111,1239,True,-0.139,-0.139
140038,1130,1383,True,-0.233,-0.233
140039,1132,1309,True,0.179,0.179
140040,1139,1154,True,0.436,0.436
140041,1161,1320,True,-0.136,-0.136
140042,1166,1411,True,0.0,0.0
140043,1169,1460,True,-0.32,-0.32
140044,1172,1416,True,0.213,0.213
140045,1176,1365,True,0.183,0.183
140046,1177,1444,True,-0.077,-0.077
140047,1136,1181,False,-0.464,-0.464
140048,1225,1363,True,0.399,0.399
140049,1245,1464,True,0.281,0.281
140050,1246,1312,True,0.232,0.232
140051,1247,1406,True,-0.333,-0.333
140052,1224,1269,False,-0.105,-0.105
140053,1272,1379,True,0.3,0.3
140054,1296,1377,True,0.186,0.186
140055,1290,1304,False,-0.242,-0.242
140056,1195,1325,False,-0.093,-0.093
140057,1336,1440,True,0.278,0.278
140058,1217,1344,False,-0.268,-0.268
140059,1207,1347,False,-0.028,-0.028
140060,1358,1374,False,-0.316,-0.316
140061,1313,1376,False,-0.258,-0.258
140062,1146,1409,False,-0.395,-0.395
140063,1200,1426,False,-0.136,-0.136
140064,1252,1454,False,-0.258,-0.258
140065,1214,1457,False,-0.023,-0.023
140066,1119,1127,True,0.314,0.314
140067,1153,1352,True,0.375,0.375
140068,1155,1427,True,0.415,0.415
140069,1170,1370,True,-0.015,-0.015
140070,1176,1252,True,0.193,0.193
140071,1191,1369,True,0.616,0.616
140072,1199,1311,True,0.336,0.336
140073,1157,1218,False,-0.256,-0.256
140074,1228,1295,True,-0.14,-0.14
140075,1164,1234,False,-0.436,-0.436
140076,1248,1389,True,-0.267,-0.267
140077,1278,1419,True,-0.323,-0.323
140078,1271,1281,False,-0.033,-0.033
140079,1296,1460,True,-0.02,-0.02
140080,1301,1375,True,0.098,0.098
140081,1286,1305,False,-0.134,-0.134
140082,1307,1308,True,-0.146,-0.146
140083,1193,1314,False,-0.23,-0.23
140084,1291,1326,False,-0.182,-0.182
140085,1148,1335,False,-0.232,-0.232
140086,1345,1436,True,0.159,0.159
140087,1350,1391,True,0.233,0.233
140088,1224,1353,False,0.139,0.139
140089,1197,1356,False,-0.466,-0.466
140090,1371,1447,True,0.081,0.081
140091,1169,1377,False,-0.114,-0.114
140092,1310,1386,False,-0.575,-0.575
140093,1216,1387,False,-0.063,-0.063
140094,1149,1390,False,-0.261,-0.261
140095,1339,1413,False,0.034,0.034
140096,1258,1414,False,-0.286,-0.286
140097,1142,1417,False,-0.183,-0.183
140098,1233,1434,False,-0.112,-0.112
140099,1421,1441,False,0.212,0.212
140100,1137,1448,False,0.197,0.197
140101,1365,1454,False,-0.248,-0.248
140102,1373,1458,False,0.011,0.011
140103,1102,1399,True,-0.207,-0.207
140104,1112,1133,True,0.629,0.629
140105,1113,1125,True,-0.164,-0.164
140106,1123,1183,True,0.188,0.188
140107,1126,1404,True,-0.148,-0.148
140108,1129,1319,True,0.493,0.493
140109,1107,1131,False,0.194,0.194
140110,1135,1221,True,-0.165,-0.165
140111,1143,1364,True,0.13,0.13
140112,1145,1250,True,-0.092,-0.092
140113,1158,1298,True,-0.03,-0.03
140114,1159,1165,False,0.081,0.081
140115,1182,1309,True,0.225,0.225
140116,1150,1187,False,0.049,0.049
140117,1196,1299,True,0.253,0.253
140118,1201,1249,True,0.45,0.45
140119,1203,1438,True,-0.091,-0.091
140120,1210,1397,True,0.135,0.135
140121,1218,1305,True,0.266,0.266
140122,1229,1287,True,-0.038,-0.038
140123,1122,1231,False,-0.296,-0.296
140124,1232,1461,True,0.052,0.052
140125,1152,1235,False,-0.622,-0.622
140126,1162,1243,False,0.14,0.14
140127,1140,1253,False,0.125,0.125
140128,1254,1259,True,0.216,0.216
140129,1244,1261,False,-0.266,-0.266
140130,1237,1266,False,-0.219,-0.219
140131,1206,1273,False,-0.204,-0.204
140132,1274,1418,True,0.264,0.264
140133,1189,1276,False,-0.169,-0.169
140134,1204,1279,False,-0.211,-0.211
140135,1312,1378,True,0.291,0.291
140136,1316,1410,True,0.448,0.448
140137,1325,1398,True,0.002,0.002
140138,1115,1329,False,-0.133,-0.133
140139,1138,1330,False,-0.053,-0.053
140140,1124,1332,False,-0.162,-0.162
140141,1342,1367,True,0.036,0.036
140142,1355,1451,True,0.032,0.032
140143,1349,1362,False,-0.15,-0.15
140144,1285,1363,False,0.407,0.407
140145,1144,1366,False,-0.15,-0.15
140146,1331,1376,False,-0.328,-0.328
140147,1280,1380,False,-0.161,-0.161
140148,1385,1420,True,0.007,0.007
140149,1264,1388,False,-0.42,-0.42
140150,1368,1401,False,-0.442,-0.442
140151,1288,1406,False,-0.333,-0.333
140152,1179,1408,False,-0.153,-0.153
140153,1106,1412,False,-0.392,-0.392
140154,1184,1423,False,-0.3,-0.3
140155,1284,1425,False,0.158,0.158
140156,1361,1428,False,-0.039,-0.039
140157,1347,1433,False,-0.223,-0.223
140158,1205,1435,False,-0.127,-0.127
140159,1241,1452,False,-0.12,-0.12
140160,1357,1463,False,-0.378,-0.378
140161,1154,1391,True,-0.026,-0.026
140162,1120,1160,False,-0.301,-0.301
140163,1163,1306,True,0.12,0.12
140164,1166,1427,True,0.43,0.43
140165,1167,1225,True,0.111,0.111
140166,1168,1334,True,0.055,0.055
140167,1104,1173,False,-0.218,-0.218
140168,1186,1370,True,0.071,0.071
140169,1190,1453,True,0.02,0.02
140170,1199,1239,True,0.165,0.165
140171,1111,1202,False,-0.226,-0.226
140172,1110,1214,False,-0.28,-0.28
140173,1238,1379,True,0.272,0.272
140174,1181,1246,False,-0.068,-0.068
140175,1247,1351,True,-0.127,-0.127
140176,1256,1426,True,0.012,0.012
140177,1216,1257,False,-0.461,-0.461
140178,1171,1265,False,0.1,0.1
140179,1207,1268,False,-0.295,-0.295
140180,1217,1269,False,-0.009,-0.009
140181,1242,1277,False,0.026,0.026
140182,1292,1293,False,0.193,0.193
140183,1282,1303,False,-0.231,-0.231
140184,1320,1372,True,-0.185,-0.185
140185,1323,1454,True,0.075,0.075
140186,1212,1326,False,-0.463,-0.463
140187,1272,1328,False,-0.222,-0.222
140188,1233,1333,False,0.088,0.088
140189,1175,1335,False,-0.203,-0.203
140190,1177,1336,False,-0.21,-0.21
140191,1382,1393,False,0.139,0.139
140192,1409,1455,True,-0.097,-0.097
140193,1348,1434,False,-0.269,-0.269
140194,1304,1437,False,-0.382,-0.382
140195,1227,1442,False,-0.185,-0.185
140196,1360,1444,False,-0.091,-0.091
140197,1251,1456,False,-0.276,-0.276
140198,1315,1458,False,-0.142,-0.142
140199,1281,1462,False,-0.521,-0.521
140200,1103,1116,True,0.258,0.258
140201,1113,1244,True,0.159,0.159
140202,1119,1192,True,0.033,0.033
140203,1125,1443,True,0.133,0.133
140204,1137,1352,True,0.239,0.239
140205,1132,1153,False,-0.25,-0.25
140206,1127,1165,False,-0.066,-0.066
140207,1176,1430,True,0.183,0.183
140208,1211,1319,True,0.674,0.674
140209,1180,1219,False,-0.443,-0.443
140210,1222,1341,True,0.484,0.484
140211,1122,1236,False,-0.225,-0.225
140212,1262,1357,True,-0.043,-0.043
140213,1237,1301,False,-0.098,-0.098
140214,1260,1307,False,-0.079,-0.079
140215,1308,1399,True,0.07,0.07
140216,1135,1310,False,0.04,0.04
140217,1314,1459,True,0.391,0.391
140218,1193,1321,False,-0.031,-0.031
140219,1185,1324,False,-0.173,-0.173
140220,1288,1330,False,-0.362,-0.362
140221,1228,1344,False,-0.256,-0.256
140222,1230,1345,False,-0.205,-0.205
140223,1350,1448,True,0.145,0.145
140224,1245,1356,False,-0.107,-0.107
140225,1117,1366,False,-0.173,-0.173
140226,1138,1386,False,-0.218,-0.218
140227,1188,1387,False,-0.13,-0.13
140228,1405,1464,True,0.216,0.216
140229,1414,1416,True,0.319,0.319
140230,1381,1424,False,-0.373,-0.373
140231,1346,1436,False,-0.306,-0.306
140232,1240,1439,False,-0.369,-0.369
140233,1102,1290,True,0.171,0.171
140234,1105,1369,True,0.246,0.246
140235,1107,1159,True,0.328,0.328
140236,1112,1129,True,0.158,0.158
140237,1130,1148,True,0.081,0.081
140238,1139,1283,True,0.29,0.29
140239,1150,1202,True,-0.092,-0.092
140240,1155,1411,True,-0.015,-0.015
140241,1161,1258,True,0.067,0.067
140242,1201,1362,True,0.236,0.236
140243,1203,1378,True,0.455,0.455
140244,1206,1279,True,-0.281,-0.281
140245,1210,1453,True,-0.06,-0.06
140246,1108,1213,False,-0.329,-0.329
140247,1216,1389,True,-0.186,-0.186
140248,1166,1231,False,-0.218,-0.218
140249,1234,1266,True,0.071,0.071
140250,1253,1371,True,-0.195,-0.195
140251,1254,1263,True,0.249,0.249
140252,1259,1420,True,0.081,0.081
140253,1261,1375,True,0.189,0.189
140254,1146,1269,False,-0.188,-0.188
140255,1212,1272,False,-0.416,-0.416
140256,1106,1273,False,-0.134,-0.134
140257,1274,1280,True,0.329,0.329
140258,1298,1367,True,0.313,0.313
140259,1175,1304,False,-0.304,-0.304
140260,1221,1306,False,-0.162,-0.162
140261,1131,1312,False,0.015,0.015
140262,1329,1406,True,-0.225,-0.225
140263,1333,1349,True,0.267,0.267
140264,1229,1355,False,-0.226,-0.226
140265,1374,1390,True,0.35,0.35
140266,1380,1408,True,0.26,0.26
140267,1353,1385,False,-0.032,-0.032
140268,1223,1395,False,0.084,0.084
140269,1278,1396,False,-0.398,-0.398
140270,1267,1397,False,0.074,0.074
140271,1394,1401,False,0.002,0.002
140272,1407,1412,False,-0.565,-0.565
140273,1365,1415,False,-0.054,-0.054
140274,1337,1417,False,0.098,0.098
140275,1322,1419,False,-0.373,-0.373
140276,1403,1428,False,-0.145,-0.145
140277,1392,1435,False,0.206,0.206
140278,1133,1438,False,-0.659,-0.659
140279,1291,1449,False,-0.139,-0.139
140280,1250,1463,False,-0.262,-0.262
140281,1104,1418,True,0.046,0.046
140282,1116,1149,True,0.278,0.278
140283,1120,1204,True,-0.059,-0.059
140284,1124,1238,True,0.125,0.125
140285,1136,1341,True,0.007,0.007
140286,1139,1396,True,0.021,0.021
140287,1143,1187,True,0.322,0.322
140288,1160,1339,True,0.301,0.301
140289,1181,1433,True,-0.009,-0.009
140290,1182,1336,True,-0.016,-0.016
140291,1123,1184,False,0.114,0.114
140292,1206,1329,True,-0.031,-0.031
140293,1207,1458,True,-0.17,-0.17
140294,1208,1293,True,0.077,0.077
140295,1111,1214,False,-0.377,-0.377
140296,1199,1220,False,-0.125,-0.125
140297,1232,1313,True,-0.032,-0.032
140298,1174,1233,False,-0.455,-0.455
140299,1198,1241,False,-0.278,-0.278
140300,1243,1377,True,0.115,0.115
140301,1246,1460,True,0.159,0.159
140302,1268,1351,True,0.356,0.356
140303,1274,1428,True,0.023,0.023
140304,1252,1275,False,-0.052,-0.052
140305,1115,1277,False,-0.611,-0.611
140306,1278,1283,True,-0.129,-0.129
140307,1279,1406,True,0.025,0.025
140308,1286,1363,True,0.219,0.219
140309,1194,1318,False,-0.305,-0.305
140310,1162,1321,False,0.03,0.03
140311,1270,1328,False,-0.512,-0.512
140312,1331,1404,True,-0.134,-0.134
140313,1332,1366,True,0.335,0.335
140314,1178,1338,False,-0.162,-0.162
140315,1255,1354,False,-0.315,-0.315
140316,1133,1371,False,-0.629,-0.629
140317,1347,1373,False,-0.153,-0.153
140318,1177,1376,False,-0.452,-0.452
140319,1280,1403,False,-0.161,-0.161
140320,1325,1409,False,0.0,0.0
140321,1326,1426,False,-0.082,-0.082
140322,1190,1437,False,-0.197,-0.197
140323,1253,1438,False,-0.225,-0.225
140324,1226,1450,False,0.216,0.216
140325,1391,1452,False,-0.498,-0.498
140326,1240,1457,False,-0.483,-0.483
140327,1276,1462,False,-0.208,-0.208
140328,1114,1361,True,0.152,0.152
140329,1123,1255,True,0.348,0.348
