,Score_Margin,Team_Id,Team_Name,Win_Percent
0,-6.41,1101,Abilene Chr,0.333
1,-6.17,1102,Air Force,0.4
2,7.27,1103,Akron,0.758
3,-0.97,1104,Alabama,0.563
4,-2.64,1105,Alabama A&M,0.357
5,-3.72,1106,Alabama St,0.414
6,8.9,1107,Albany NY,0.742
7,-6.11,1108,Alcorn St,0.464
8,-8.1,1110,American Univ,0.387
9,-6.81,1111,Appalachian St,0.29
10,12.21,1112,Arizona,0.758
11,-0.69,1113,Arizona St,0.469
12,9.94,1114,Ark Little Rock,0.871
13,-13.79,1115,Ark Pine Bluff,0.242
14,3.47,1116,Arkansas,0.5
15,-5.1,1117,Arkansas St,0.31
16,1.29,1119,Army,0.581
17,-7.39,1120,Auburn,0.355
18,-2.36,1122,Austin Peay,0.485
19,3.19,1123,Ball St,0.581
20,6.69,1124,Baylor,0.656
21,3.7,1125,Belmont,0.633
22,-5.17,1126,Bethune-Cookman,0.4
23,-7.73,1127,Binghamton,0.267
24,4.1,1129,Boise St,0.6
25,-9.28,1130,Boston College,0.219
26,-0.19,1131,Boston Univ,0.548
27,-4.03,1132,Bowling Green,0.438
28,-14.61,1133,Bradley,0.129
29,-5.22,1135,Brown,0.259
30,-11.87,1136,Bryant,0.233
31,4.28,1137,Bucknell,0.552
32,0.67,1138,Buffalo,0.576
33,9.42,1139,Butler,0.677
34,10.47,1140,BYU,0.688
35,0.76,1141,C Michigan,0.483
36,-4.39,1142,Cal Poly SLO,0.286
37,8.09,1143,California,0.697
38,-4.41,1144,Campbell,0.333
39,-1.85,1145,Canisius,0.424
40,-8.36,1146,Cent Arkansas,0.25
41,-13.1,1148,Central Conn,0.138
42,-8.33,1149,Charleston So,0.222
43,-1.42,1150,Charlotte,0.424
44,7.69,1151,Chattanooga,0.844
45,-16.14,1152,Chicago St,0.034
46,10.31,1153,Cincinnati,0.688
47,-11.21,1154,Citadel,0.241
48,5.16,1155,Clemson,0.548
49,-9.27,1156,Cleveland St,0.233
50,2.73,1157,Coastal Car,0.577
51,2.33,1158,Col Charleston,0.533
52,-2.55,1159,Colgate,0.414
53,4.75,1160,Colorado,0.656
54,0.78,1161,Colorado St,0.5
55,4.93,1162,Columbia,0.655
56,10.32,1163,Connecticut,0.706
57,-9.69,1164,Coppin St,0.241
58,-8.52,1165,Cornell,0.333
59,6.53,1166,Creighton,0.563
60,8.48,1167,CS Bakersfield,0.724
61,-6.36,1168,CS Fullerton,0.286
