,Team1,Team2,WL,delta_Win_Percentage,delta_Score_Margin
1983,1192,1195,False,-0.004,-4.4
1984,1435,1455,False,-0.148,-4.3
1985,1221,1380,True,-0.189,-6.2
1986,1276,1409,True,-0.009,1.92
1987,1114,1345,True,0.106,-3.21
1988,1139,1403,True,0.064,6.87
1989,1160,1163,False,-0.05,-5.57
1990,1181,1423,True,-0.07,3.02
1991,1211,1371,True,0.023,5.69
1992,1151,1231,False,0.063,-5.69
1993,1233,1235,False,0.032,-0.94
1994,1122,1242,False,-0.394,-15.06
1995,1246,1392,True,-0.035,1.14
1996,1138,1274,False,-0.205,-8.14
1997,1195,1314,False,-0.272,-9.99
1998,1344,1425,True,0.061,-1.85
1999,1201,1428,False,-0.039,-4.01
2000,1214,1438,False,-0.121,-9.8
2001,1112,1455,False,0.016,-1.5
2002,1124,1463,False,-0.122,-4.27
2003,1143,1218,False,-0.136,-2.71
2004,1234,1396,True,0.021,8.17
2005,1268,1355,True,-0.024,2.1
2006,1277,1292,False,0.143,12.28
2007,1320,1400,True,0.011,1.36
2008,1276,1323,False,-0.02,1.11
2009,1167,1328,False,-0.057,-1.49
2010,1221,1332,False,-0.394,-13.48
2011,1372,1452,True,0.056,2.7
2012,1153,1386,False,-0.106,2.63
2013,1173,1393,False,0.187,2.88
2014,1401,1453,True,0.129,7.68
2015,1333,1433,False,-0.106,-8.48
2016,1421,1437,False,-0.208,-7.81
2017,1338,1458,False,0.02,2.75
2018,1451,1462,False,-0.102,-4.25
2019,1181,1463,True,-0.081,-1.57
2020,1211,1428,True,0.023,5.27
2021,1231,1246,True,0.016,1.97
2022,1114,1235,False,0.215,3.06
2023,1163,1242,False,-0.173,-2.38
2024,1274,1455,True,0.039,-4.9
2025,1314,1344,True,0.127,8.47
2026,1139,1438,False,-0.111,-1.28
2027,1218,1268,False,0.083,1.67
2028,1323,1372,True,-0.165,-10.16
2029,1328,1433,True,0.075,0.06
2030,1332,1386,True,0.024,1.47
2031,1292,1393,False,0.116,-0.4
2032,1320,1401,False,-0.129,-5.74
2033,1234,1437,False,-0.176,-3.87
2034,1458,1462,True,-0.219,-6.0
2035,1242,1268,True,0.129,3.57
2036,1328,1401,True,0.016,-0.41
2037,1181,1332,False,-0.121,0.24
2038,1274,1437,False,-0.072,-4.45
2039,1231,1314,False,-0.043,0.67
2040,1323,1458,True,0.031,0.82
2041,1211,1393,False,0.187,8.25
2042,1235,1438,False,-0.132,-3.82
2043,1328,1332,True,-0.037,0.82
2044,1242,1437,False,0.026,-0.56
2045,1314,1323,True,0.168,7.58
2046,1393,1438,True,-0.194,-6.2
2047,1314,1393,True,0.23,8.21
2048,1328,1437,False,-0.072,-3.29
2049,1314,1437,False,-0.029,-0.55
